objectid,parentid,filename,physical_description,title,creator,date,description,subject,size,physical_format,binding_features,series_title,workshop_tags,content_tags,type,format,versions,language,rights,rights_cc,rightsstatement
zine001,,zine-potatosalad-cover.png,Paper; sharpie,Grandma OŐHaraŐs Potato Salad,Megan Palmer,2026-05-13,This one page zine shares a family recipe for potato salad with reflections on the nature of code annotations.,,8.5x11,1-page zine,Folded,Pilot,Aggregation,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
zine002,,zine-whatamimaking-cover.png,Paper; mixed materials,What Am I Making?,Megan Palmer,2026-04-08,"This booklet is a meditation on the question ""what am I making?"" with each page representing the question with a different medium.",,,1-page zine,Pamphlet Stitch,Pilot,Medium,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
zine003,,zine-hungerjoy-cover.png,Paper; mixed materials,Hunger & Joy,Megan Palmer; Julia Flanders; Juniper Johnson; Ash Clark,2025-02-25,"This collaborative zine responds to the prompt: Think about your: cooking/baking process, a digital process that you find familiar or provocative/teachable, or both, and create one panel that explores these ideas.",,8.5x11,Booklet-zine,Staples,Super Pilot,Intro,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
zine004,,zine-millet-cover.png,Paper; marker,Millet Miracles,Nirmala Mennon,2026-05-13,This one page zine explores the possibilities of cooking with millet.,,8.5x11,1-page zine,Folded,Pilot,Aggregation,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
zine005,,zine-gluten-cover.png,Paper; marker,NOT SAFE FOR GLUTEN,Colleen Nugent,2026-05-13,"This one page shares recipes for cookies, bread, and playdoh (all containing gluten)",,8.5x11,1-page zine,Folded,Pilot,Aggregation,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
zine006,,zine-dhcookbook-cover.png,Digital,The DH Cookbook,Megan Palmer,2025-02-25,This one page zine shares a recipe for Irish soda bread while exploring the nature and affordances of zines.,,8.5x11,1-page zine,Folded,Super Pilot,Intro,,Image;StillImage,image/pdf,,eng,"Freely available for non-commercial use and remixing, as long as you acknowledge the creator and make the resulting materials available under the same Creative Commons license.",CC-BY-NC-SA,https://creativecommons.org/licenses/by-nc-sa/4.0/
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,